timestamp,total,aguardando_relator,relator_designado,analise_memorial,analise_criterios,em_votacao,aguardando_homologacao,indeferido,homologado
2026-08-06T09:49:19-03:00,436,357,79,4,15,54,6,0,0
2026-08-06T10:14:07-03:00,436,356,80,4,16,54,6,0,0
2026-08-06T10:24:51-03:00,436,356,80,4,15,55,6,0,0
2026-08-06T10:30:58-03:00,436,356,80,4,14,56,6,0,0
2026-08-06T10:37:33-03:00,436,356,80,4,14,56,6,0,0
2026-08-06T10:46:56-03:00,436,356,80,4,14,56,6,0,0
2026-08-07T01:15:28-03:00,468,361,107,1,21,46,29,0,10
2026-08-07T07:02:41-03:00,468,360,108,2,19,48,23,0,16
2026-08-07T09:32:06-03:00,467,355,112,2,20,50,24,0,16
2026-08-07T10:00:26-03:00,465,352,113,2,20,50,25,0,16
2026-08-07T11:00:26-03:00,468,352,116,3,19,47,23,0,24
2026-08-07T12:00:25-03:00,472,351,121,2,20,52,22,0,25
2026-08-07T13:00:27-03:00,474,351,123,2,18,56,22,0,25
2026-08-07T13:12:22-03:00,475,352,123,2,17,57,22,0,25
2026-08-07T14:00:27-03:00,475,350,125,2,19,57,21,0,26
2026-08-07T15:00:26-03:00,479,351,128,1,22,58,21,0,26
2026-08-07T16:00:24-03:00,480,347,133,1,24,61,21,0,26
2026-08-07T16:57:08-03:00,480,348,132,1,17,65,23,0,26
2026-08-07T17:00:24-03:00,481,349,132,1,17,65,23,0,26
2026-08-07T18:00:26-03:00,483,346,137,3,16,67,25,0,26
2026-08-07T19:00:25-03:00,485,348,137,2,16,55,38,0,26
2026-08-07T19:08:32-03:00,485,348,137,2,16,55,38,0,26
2026-08-07T20:00:33-03:00,484,347,137,2,16,55,38,0,26
2026-08-07T20:52:28-03:00,485,348,137,2,16,55,38,0,26
2026-08-10T07:00:26-03:00,515,291,224,2,17,134,45,0,26
2026-08-10T08:00:23-03:00,515,288,227,2,19,132,48,0,26
2026-08-10T09:00:30-03:00,516,287,229,3,20,130,50,0,26
2026-08-10T10:00:25-03:00,516,281,235,5,18,112,74,0,26
2026-08-10T11:00:24-03:00,516,266,250,4,19,123,78,0,26
2026-08-10T11:33:56-03:00,517,259,258,4,20,125,83,0,26
2026-08-10T12:00:30-03:00,518,247,271,4,21,137,83,0,26
2026-08-10T13:00:30-03:00,518,243,275,4,20,141,84,0,26
2026-08-10T14:00:26-03:00,518,238,280,3,22,127,102,0,26
2026-08-10T15:00:23-03:00,523,239,284,2,22,130,104,0,26
2026-08-10T15:04:59-03:00,523,238,285,2,23,130,104,0,26
2026-08-10T16:00:25-03:00,522,234,288,2,22,129,108,1,26
2026-08-10T17:00:27-03:00,523,231,292,2,20,130,113,1,26
2026-08-10T17:24:11-03:00,524,231,293,2,18,131,112,1,29
2026-08-10T18:00:23-03:00,524,231,293,3,17,126,117,1,29
2026-08-10T19:00:29-03:00,525,230,295,2,19,126,117,1,30
2026-08-10T20:00:23-03:00,527,231,296,2,18,126,119,1,30
2026-08-10T20:08:56-03:00,527,231,296,2,18,109,136,1,30
2026-08-11T01:06:31-03:00,534,238,296,2,16,93,154,1,30
2026-08-11T07:00:37-03:00,535,237,298,2,15,88,162,1,30
2026-08-11T08:00:30-03:00,535,234,301,2,16,87,165,1,30
2026-08-11T09:00:25-03:00,537,234,303,1,15,89,161,1,36
2026-08-11T09:31:40-03:00,537,232,305,2,16,89,161,1,36
2026-08-11T10:00:30-03:00,538,230,308,1,18,77,175,1,36
2026-08-11T11:00:24-03:00,537,226,311,1,17,77,179,1,36
2026-08-11T12:00:30-03:00,539,225,314,0,19,62,195,1,37
2026-08-11T13:00:24-03:00,540,224,316,1,18,63,154,1,79
2026-08-11T13:14:24-03:00,540,224,316,1,18,63,152,1,81
2026-08-11T14:00:35-03:00,542,225,317,2,18,56,141,1,99
2026-08-11T15:00:30-03:00,545,225,320,1,19,55,136,1,108
2026-08-11T16:00:26-03:00,548,225,323,3,18,56,133,1,112
2026-08-11T17:00:25-03:00,548,220,328,2,21,57,111,1,136
2026-08-11T17:06:27-03:00,549,221,328,2,21,52,116,1,136
2026-08-11T18:00:23-03:00,549,221,328,2,18,49,114,1,144
2026-08-11T19:00:27-03:00,549,219,330,1,19,50,115,1,144
2026-08-11T19:25:19-03:00,550,220,330,1,18,47,119,1,144
2026-08-11T20:00:25-03:00,553,221,332,1,20,46,120,1,144
2026-08-12T02:17:42-03:00,560,223,337,1,19,52,103,1,161
2026-08-12T07:00:26-03:00,560,219,341,1,20,54,100,1,165
2026-08-12T08:00:25-03:00,561,217,344,1,22,53,100,1,167
2026-08-12T09:00:27-03:00,565,218,347,2,23,53,95,1,173
2026-08-12T10:00:28-03:00,567,216,351,4,22,44,74,0,207
2026-08-12T11:00:26-03:00,570,214,356,3,23,46,58,0,226
2026-08-12T11:33:40-03:00,571,213,358,4,22,44,61,0,227
2026-08-12T12:00:28-03:00,570,211,359,4,23,38,64,0,230
2026-08-12T13:00:34-03:00,573,212,361,3,19,41,48,0,250
2026-08-12T14:00:29-03:00,577,213,364,3,18,34,51,0,258
